Mention 7 Layer 4,Cluster,ClusterScore,TopLabelsFused
0,1,0.16694278632378745,"[(135, np.float64(0.345416883420834)), (149, np.float64(0.34407676062835296)), (176, np.float64(0.3430684804284609)), (174, np.float64(0.3149642392091691)), (175, np.float64(0.22844955133095496)), (155, np.float64(0.21796194302256883)), (150, np.float64(0.2167298382051516))]"
1,0,0.593299260761102,"[(63, np.float64(0.6515717424588846)), (142, np.float64(0.6429488872702888)), (131, np.float64(0.6404828519829392)), (133, np.float64(0.5845330745937937)), (136, np.float64(0.4108358372779422))]"
