Mention 4 Layer 4,Cluster,ClusterScore,TopLabelsFused
0,0,0.37243434594371616,"[(197, np.float64(0.513520631001777)), (211, np.float64(0.5055331615809862)), (212, np.float64(0.33417535044039876)), (196, np.float64(0.3278813620426941)), (221, np.float64(0.327524240961103)), (202, np.float64(0.32677603512074804))]"
1,1,0.6062197617470388,"[(287, np.float64(0.6515998158082376)), (293, np.float64(0.6450356172425311)), (286, np.float64(0.6266385938711917)), (288, np.float64(0.6075170904185562)), (243, np.float64(0.42888436228383897)), (386, np.float64(0.41396298011856586))]"
