CMDLINE python3 test/xmr4el/test_train_pipeline.py
MEM 1080.332031 1760698664.3378
MEM 1076.062500 1760698664.4390
MEM 1076.046875 1760698664.5399
MEM 1073.820312 1760698664.6412
MEM 1064.578125 1760698664.7420
MEM 1056.507812 1760698664.8428
MEM 1053.152344 1760698664.9441
MEM 1045.546875 1760698665.0453
MEM 1042.605469 1760698665.1458
MEM 1039.761719 1760698665.2469
MEM 1039.761719 1760698665.3511
MEM 1039.761719 1760698665.4531
MEM 969.609375 1760698665.5585
MEM 969.609375 1760698665.6592
MEM 969.609375 1760698665.7599
MEM 969.609375 1760698665.8609
MEM 969.609375 1760698665.9622
MEM 969.609375 1760698666.0648
MEM 969.609375 1760698666.1668
MEM 969.609375 1760698666.2679
MEM 969.609375 1760698666.3709
MEM 968.085938 1760698666.4761
MEM 968.085938 1760698666.5818
MEM 968.085938 1760698666.6843
MEM 968.085938 1760698666.7938
MEM 968.085938 1760698666.8948
MEM 968.085938 1760698666.9958
MEM 968.085938 1760698667.0969
MEM 968.085938 1760698667.1978
MEM 968.210938 1760698667.2988
MEM 968.210938 1760698667.3998
MEM 968.210938 1760698667.5008
MEM 968.210938 1760698667.6018
MEM 968.210938 1760698667.7028
MEM 968.210938 1760698667.8064
MEM 831.152344 1760698667.9071
MEM 1235.363281 1760698668.0092
MEM 1861.003906 1760698668.1120
MEM 2551.476562 1760698668.2135
MEM 3165.285156 1760698668.3140
MEM 3907.800781 1760698668.4154
MEM 4372.769531 1760698668.5162
MEM 4125.312500 1760698668.6203
MEM 1192.281250 1760698668.7211
MEM 2796.546875 1760698668.8257
MEM 3968.941406 1760698668.9263
MEM 4072.042969 1760698669.0291
MEM 3098.707031 1760698669.1299
MEM 2004.332031 1760698669.2310
MEM 3316.089844 1760698669.3321
MEM 3769.242188 1760698669.4332
MEM 3258.160156 1760698669.5341
MEM 2005.351562 1760698669.6350
MEM 3303.945312 1760698669.7363
MEM 3900.363281 1760698669.8372
MEM 2476.457031 1760698669.9379
MEM 2594.046875 1760698670.0411
MEM 3801.031250 1760698670.1420
MEM 4099.464844 1760698670.2430
MEM 3037.535156 1760698670.3440
MEM 2444.074219 1760698670.4450
MEM 3888.625000 1760698670.5461
MEM 4271.671875 1760698670.6472
MEM 3424.699219 1760698670.7480
MEM 2710.285156 1760698670.8535
MEM 3472.679688 1760698670.9542
MEM 4254.042969 1760698671.0553
MEM 3961.781250 1760698671.1561
MEM 2172.386719 1760698671.2570
MEM 3151.945312 1760698671.3581
MEM 4226.089844 1760698671.4602
MEM 3850.859375 1760698671.5611
MEM 2329.089844 1760698671.6649
MEM 3094.925781 1760698671.7661
MEM 3758.917969 1760698671.8670
MEM 3332.792969 1760698671.9683
MEM 2898.984375 1760698672.0691
MEM 2910.132812 1760698672.1700
MEM 4197.230469 1760698672.2715
